,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
642,"female,group B,some high school,free/reduced,none,72.0,81.0,79.0","female,group B,some high school,free/reduced,none,72.0,81.0,79.0",,,nan/nan
643,"female,group E,high school,standard,completed,74.0,79.0,80.0","female,group E,high school,standard,completed,74.0,79.0,80.0",,,nan/nan
644,"male,group B,high school,standard,none,70.0,65.0,","male,group B,high school,standard,none,70.0,65.0,",,,nan/nan
645,"female,group B,bachelor's degree,standard,completed,65.0,81.0,81.0","female,group B,bachelor's degree,standard,completed,65.0,81.0,81.0",,,nan/nan
646,",group D,associate's degree,standard,none,59.0,70.0,65.0",",group D,associate's degree,standard,none,59.0,70.0,65.0",,,nan/nan
647,"female,group E,high school,free/reduced,none,64.0,62.0,68.0","female,group E,high school,free/reduced,none,64.0,62.0,68.0",,,nan/nan
648,"female,group B,high school,standard,none,50.0,53.0,55.0","female,group B,high school,standard,none,50.0,53.0,55.0",,,nan/nan
649,"female,group D,some college,standard,completed,69.0,79.0,81.0","female,group D,some college,standard,completed,69.0,79.0,81.0",,,nan/nan
650,"male,group C,some high school,free/reduced,completed,51.0,56.0,53.0","male,group C,some high school,free/reduced,completed,51.0,56.0,53.0",,,nan/nan
651,"female,group A,high school,standard,completed,68.0,80.0,76.0","female,group A,high school,standard,completed,68.0,80.0,76.0",,,nan/nan
652,"female,group D,some college,standard,,85.0,86.0,98.0","female,group D,some college,standard,,85.0,86.0,98.0",,,nan/nan
653,"female,group A,associate's degree,standard,completed,65.0,70.0,74.0","female,group A,associate's degree,standard,completed,65.0,70.0,74.0",,,nan/nan
654,"female,group B,some high school,standard,none,73.0,79.0,79.0","female,group B,some high school,standard,none,73.0,79.0,79.0",,,nan/nan
655,"female,group B,some college,standard,none,62.0,67.0,67.0","female,group B,some college,standard,none,62.0,67.0,67.0",,,nan/nan
656,"male,group C,associate's degree,free/reduced,none,77.0,67.0,64.0","male,group C,associate's degree,free/reduced,none,77.0,67.0,64.0",,,nan/nan
657,"male,group D,some high school,standard,none,69.0,66.0,","male,group D,some high school,standard,none,69.0,66.0,",,,nan/nan
658,",group D,associate's degree,free/reduced,none,43.0,60.0,58.0",",group D,associate's degree,free/reduced,none,43.0,60.0,58.0",,,nan/nan
659,"male,group D,associate's degree,standard,none,90.0,87.0,85.0","male,group D,associate's degree,standard,none,90.0,87.0,85.0",,,nan/nan
660,"male,group C,some college,free/reduced,none,74.0,77.0,73.0","male,group C,some college,free/reduced,none,74.0,77.0,73.0",,,nan/nan
661,"male,group C,some high school,standard,none,73.0,66.0,63.0","male,group C,some high school,standard,none,73.0,66.0,63.0",,,nan/nan
662,"female,group D,some college,free/reduced,none,55.0,71.0,69.0","female,group D,some college,free/reduced,none,55.0,71.0,69.0",,,nan/nan
663,"female,group C,high school,standard,none,65.0,69.0,67.0","female,group C,high school,standard,none,65.0,69.0,67.0",,,nan/nan
664,"male,group D,associate's degree,standard,none,80.0,63.0,63.0","male,group D,associate's degree,standard,none,80.0,63.0,63.0",,,nan/nan
665,"female,group C,some high school,free/reduced,completed,50.0,60.0,60.0","female,group C,some high school,free/reduced,completed,50.0,60.0,60.0",,,nan/nan
666,"female,group C,some college,free/reduced,completed,63.0,73.0,71.0","female,group C,some college,free/reduced,completed,63.0,73.0,71.0",,,nan/nan
667,"female,group B,bachelor's degree,free/reduced,none,77.0,85.0,87.0","female,group B,bachelor's degree,free/reduced,none,77.0,85.0,87.0",,,nan/nan
668,"male,group C,some college,standard,none,73.0,74.0,61.0","male,group C,some college,standard,none,73.0,74.0,61.0",,,nan/nan
669,"male,group D,associate's degree,standard,completed,81.0,72.0,77.0","male,group D,associate's degree,standard,completed,81.0,72.0,77.0",,,nan/nan
670,"female,group C,high school,free/reduced,none,66.0,76.0,68.0","female,group C,high school,free/reduced,none,66.0,76.0,68.0",,,nan/nan
671,"male,group D,associate's degree,free/reduced,none,52.0,57.0,50.0","male,group D,associate's degree,free/reduced,none,52.0,57.0,50.0",,,nan/nan
672,"female,group C,some college,standard,none,69.0,78.0,76.0","female,group C,some college,standard,none,69.0,78.0,76.0",,,nan/nan
673,"female,group C,associate's degree,standard,completed,65.0,84.0,84.0","female,group C,associate's degree,standard,completed,65.0,84.0,84.0",,,nan/nan
674,"female,group D,high school,standard,completed,69.0,77.0,78.0","female,group D,high school,standard,completed,69.0,77.0,78.0",,,nan/nan
675,"female,group B,some college,standard,completed,50.0,64.0,66.0","female,group B,some college,standard,completed,50.0,64.0,66.0",,,nan/nan
676,"female,group E,some college,standard,,73.0,78.0,76.0","female,group E,some college,standard,,73.0,78.0,76.0",,,nan/nan
677,"female,,some high school,standard,completed,70.0,82.0,76.0","female,,some high school,standard,completed,70.0,82.0,76.0",,,nan/nan
678,"male,group D,associate's degree,free/reduced,none,81.0,75.0,78.0","male,group D,associate's degree,free/reduced,none,81.0,75.0,78.0",,,nan/nan
679,"male,group D,some college,free/reduced,none,63.0,61.0,60.0","male,group D,some college,free/reduced,none,63.0,61.0,60.0",,,nan/nan
680,",group D,high school,standard,none,67.0,72.0,74.0",",group D,high school,standard,none,67.0,72.0,74.0",,,nan/nan
681,"male,group B,high school,standard,none,60.0,68.0,60.0","male,group B,high school,standard,none,60.0,68.0,60.0",,,nan/nan
682,"male,group B,high school,standard,none,62.0,55.0,54.0","male,group B,high school,standard,none,62.0,55.0,54.0",,,nan/nan
683,"female,group C,some high school,free/reduced,,29.0,,44.0","female,group C,some high school,free/reduced,,29.0,,44.0",,,nan/nan
684,"male,group B,some college,standard,completed,62.0,66.0,68.0","male,group B,some college,standard,completed,62.0,66.0,68.0",,,nan/nan
685,"female,group E,master's degree,standard,completed,94.0,99.0,100.0","female,group E,master's degree,standard,completed,94.0,99.0,100.0",,,nan/nan
686,"male,group E,some college,standard,completed,,75.0,68.0","male,group E,some college,standard,completed,,75.0,68.0",,,nan/nan
687,"male,group D,associate's degree,free/reduced,none,77.0,78.0,73.0","male,group D,associate's degree,free/reduced,none,77.0,78.0,73.0",,,nan/nan
688,",group A,high school,free/reduced,none,53.0,58.0,44.0",",group A,high school,free/reduced,none,53.0,58.0,44.0",,,nan/nan
689,"male,group E,some college,free/reduced,none,93.0,90.0,83.0","male,group E,some college,free/reduced,none,93.0,90.0,83.0",,,nan/nan
690,"female,group C,associate's degree,standard,none,49.0,53.0,53.0","female,group C,associate's degree,standard,none,49.0,53.0,53.0",,,nan/nan
691,"female,group E,associate's degree,free/reduced,,73.0,76.0,78.0","female,group E,associate's degree,free/reduced,,73.0,76.0,78.0",,,nan/nan
692,"female,group C,bachelor's degree,free/reduced,completed,66.0,74.0,81.0","female,group C,bachelor's degree,free/reduced,completed,66.0,74.0,81.0",,,nan/nan
693,"female,group D,,standard,none,77.0,77.0,73.0","female,group D,,standard,none,77.0,77.0,73.0",,,nan/nan
694,"female,group C,some high school,standard,none,49.0,63.0,56.0","female,group C,some high school,standard,none,49.0,63.0,56.0",,,nan/nan
695,"female,group D,some college,free/reduced,none,79.0,89.0,86.0","female,group D,some college,free/reduced,none,79.0,89.0,86.0",,,nan/nan
696,"female,group C,associate's degree,standard,completed,75.0,82.0,90.0","female,group C,associate's degree,standard,completed,75.0,82.0,90.0",,,nan/nan
697,"female,group A,bachelor's degree,standard,none,59.0,,70.0","female,group A,bachelor's degree,standard,none,59.0,,70.0",,,nan/nan
698,"female,group D,associate's degree,standard,completed,57.0,78.0,79.0","female,group D,associate's degree,standard,completed,57.0,78.0,79.0",,,nan/nan
699,"male,group C,high school,free/reduced,none,,66.0,59.0","male,group C,high school,free/reduced,none,,66.0,59.0",,,nan/nan
700,"female,group E,bachelor's degree,standard,,79.0,81.0,82.0","female,group E,bachelor's degree,standard,,79.0,81.0,82.0",,,nan/nan
701,"female,group B,some high school,standard,none,57.0,67.0,72.0","female,group B,some high school,standard,none,57.0,67.0,72.0",,,nan/nan
702,"male,group A,bachelor's degree,standard,completed,87.0,84.0,87.0","male,group A,bachelor's degree,standard,completed,87.0,84.0,87.0",,,nan/nan
703,"female,group D,,,none,63.0,64.0,67.0","female,group D,,,none,63.0,64.0,67.0",,,nan/nan
704,"female,group B,some high school,free/reduced,completed,59.0,63.0,64.0","female,group B,some high school,free/reduced,completed,59.0,63.0,64.0",,,nan/nan
705,"male,group A,bachelor's degree,free/reduced,none,62.0,72.0,65.0","male,group A,bachelor's degree,free/reduced,none,62.0,72.0,65.0",,,nan/nan
706,"male,group D,high school,standard,none,46.0,34.0,36.0","male,group D,high school,standard,none,46.0,34.0,36.0",,,nan/nan
707,"male,group C,some college,standard,none,66.0,59.0,52.0","male,group C,some college,standard,none,66.0,59.0,52.0",,,nan/nan
708,"male,group D,high school,standard,none,,87.0,79.0","male,group D,high school,standard,none,,87.0,79.0",,,nan/nan
709,"female,group D,associate's degree,free/reduced,completed,42.0,61.0,58.0","female,group D,associate's degree,free/reduced,completed,42.0,61.0,58.0",,,nan/nan
710,"male,group C,some college,standard,,93.0,84.0,90.0","male,group C,some college,standard,,93.0,84.0,90.0",,,nan/nan
711,"female,group E,some high school,standard,completed,80.0,85.0,85.0","female,group E,some high school,standard,completed,80.0,85.0,85.0",,,nan/nan
712,"female,group D,some college,standard,none,98.0,100.0,99.0","female,group D,some college,standard,none,98.0,100.0,99.0",,,nan/nan
713,"male,group D,master's degree,standard,none,81.0,81.0,84.0","male,group D,master's degree,standard,none,81.0,81.0,84.0",,,nan/nan
714,"female,group B,some high school,standard,,60.0,70.0,74.0","female,group B,some high school,standard,,60.0,70.0,74.0",,,nan/nan
715,"female,group B,associate's degree,free/reduced,completed,76.0,94.0,87.0","female,group B,associate's degree,free/reduced,completed,76.0,94.0,87.0",,,nan/nan
716,"male,group C,associate's degree,,completed,73.0,78.0,72.0","male,group C,associate's degree,,completed,73.0,78.0,72.0",,,nan/nan
717,"female,group C,associate's degree,standard,completed,96.0,96.0,99.0","female,group C,associate's degree,standard,completed,96.0,96.0,99.0",,,nan/nan
718,"female,group C,high school,standard,none,76.0,76.0,74.0","female,group C,high school,standard,none,76.0,76.0,74.0",,,nan/nan
719,"male,group E,associate's degree,,completed,91.0,73.0,80.0","male,group E,associate's degree,,completed,91.0,73.0,80.0",,,nan/nan
720,"female,group C,some college,free/reduced,none,62.0,72.0,70.0","female,group C,some college,free/reduced,none,62.0,72.0,70.0",,,nan/nan
721,"male,group D,some high school,free/reduced,completed,55.0,59.0,59.0","male,group D,some high school,free/reduced,completed,55.0,59.0,59.0",,,nan/nan
722,"female,group B,some high school,free/reduced,completed,74.0,90.0,88.0","female,group B,some high school,free/reduced,completed,74.0,90.0,88.0",,,nan/nan
723,"male,group C,high school,standard,none,50.0,48.0,42.0","male,group C,high school,standard,none,50.0,48.0,42.0",,,nan/nan
724,"male,group B,some college,standard,none,47.0,43.0,41.0","male,group B,some college,standard,none,47.0,43.0,41.0",,,nan/nan
725,"male,group E,some college,standard,completed,81.0,74.0,71.0","male,group E,some college,standard,completed,81.0,74.0,71.0",,,nan/nan
726,"female,group E,associate's degree,standard,completed,65.0,75.0,77.0","female,group E,associate's degree,standard,completed,65.0,75.0,77.0",,,nan/nan
727,"male,group E,some high school,standard,completed,68.0,51.0,57.0","male,group E,some high school,standard,completed,68.0,51.0,57.0",,,nan/nan
728,"female,group D,high school,free/reduced,none,73.0,92.0,84.0","female,group D,high school,free/reduced,none,73.0,92.0,84.0",,,nan/nan
729,"male,group C,some college,standard,none,53.0,39.0,37.0","male,group C,some college,standard,none,53.0,39.0,37.0",,,nan/nan
730,"female,group B,associate's degree,free/reduced,completed,68.0,77.0,80.0","female,group B,associate's degree,free/reduced,completed,68.0,77.0,80.0",,,nan/nan
731,"male,group A,some high school,free/reduced,none,55.0,46.0,43.0","male,group A,some high school,free/reduced,none,55.0,46.0,43.0",,,nan/nan
732,"female,group C,some college,standard,completed,87.0,89.0,94.0","female,group C,some college,standard,completed,87.0,89.0,94.0",,,nan/nan
733,"male,group D,some high school,standard,none,55.0,47.0,44.0","male,group D,some high school,standard,none,55.0,47.0,44.0",,,nan/nan
734,"female,group E,some college,free/reduced,none,53.0,58.0,57.0","female,group E,some college,free/reduced,none,53.0,58.0,57.0",,,nan/nan
735,"male,,master's degree,standard,none,67.0,57.0,59.0","male,,master's degree,standard,none,67.0,57.0,59.0",,,nan/nan
736,"male,group C,associate's degree,standard,none,92.0,79.0,84.0","male,group C,associate's degree,standard,none,92.0,79.0,84.0",,,nan/nan
737,"female,group B,some college,free/reduced,completed,53.0,66.0,73.0","female,group B,some college,free/reduced,completed,53.0,66.0,73.0",,,nan/nan
738,",group D,associate's degree,standard,none,81.0,71.0,73.0",",group D,associate's degree,standard,none,81.0,71.0,73.0",,,nan/nan
739,"male,group C,high school,free/reduced,none,61.0,60.0,55.0","male,group C,high school,free/reduced,none,61.0,60.0,55.0",,,nan/nan
740,"male,group D,bachelor's degree,,none,80.0,73.0,72.0","male,group D,bachelor's degree,,none,80.0,73.0,72.0",,,nan/nan
741,"female,group A,associate's degree,free/reduced,none,37.0,57.0,56.0","female,group A,associate's degree,free/reduced,none,37.0,57.0,56.0",,,nan/nan
742,"female,group C,high school,standard,none,81.0,84.0,82.0","female,group C,high school,standard,none,81.0,84.0,82.0",,,nan/nan
743,"female,group C,associate's degree,standard,completed,,,72.0","female,group C,associate's degree,standard,completed,,,72.0",,,nan/nan
744,"male,group B,some college,free/reduced,none,55.0,55.0,47.0","male,group B,some college,free/reduced,none,55.0,55.0,47.0",,,nan/nan
745,"male,group D,associate's degree,standard,none,72.0,79.0,74.0","male,group D,associate's degree,standard,none,72.0,79.0,74.0",,,nan/nan
746,"male,group D,high school,standard,none,69.0,75.0,71.0","male,group D,high school,standard,none,69.0,75.0,71.0",,,nan/nan
747,"male,group C,some college,standard,none,69.0,64.0,68.0","male,group C,some college,standard,none,69.0,64.0,68.0",,,nan/nan
748,"female,group C,bachelor's degree,free/reduced,,50.0,60.0,59.0","female,group C,bachelor's degree,free/reduced,,50.0,60.0,59.0",,,nan/nan
749,"male,group B,some college,standard,completed,87.0,84.0,86.0","male,group B,some college,standard,completed,87.0,84.0,86.0",,,nan/nan
750,"male,group D,some high school,standard,completed,71.0,69.0,68.0","male,group D,some high school,standard,completed,71.0,69.0,68.0",,,nan/nan
751,"male,group E,some college,standard,none,68.0,72.0,65.0","male,group E,some college,standard,none,68.0,72.0,65.0",,,nan/nan
752,"male,group C,master's degree,free/reduced,completed,79.0,77.0,75.0","male,group C,master's degree,free/reduced,completed,79.0,77.0,75.0",,,nan/nan
753,"female,group C,some high school,standard,completed,77.0,90.0,85.0","female,group C,some high school,standard,completed,77.0,90.0,85.0",,,nan/nan
754,"male,group C,associate's degree,free/reduced,none,58.0,55.0,53.0","male,group C,associate's degree,free/reduced,none,58.0,55.0,53.0",,,nan/nan
755,",group E,associate's degree,standard,none,84.0,95.0,92.0",",group E,associate's degree,standard,none,84.0,95.0,92.0",,,nan/nan
756,"male,group D,some college,standard,none,55.0,58.0,52.0","male,group D,some college,standard,none,55.0,58.0,52.0",,,nan/nan
757,"male,group E,bachelor's degree,free/reduced,completed,70.0,68.0,72.0","male,group E,bachelor's degree,free/reduced,completed,70.0,68.0,72.0",,,nan/nan
758,"female,group D,some college,free/reduced,completed,52.0,59.0,65.0","female,group D,some college,free/reduced,completed,52.0,59.0,65.0",,,nan/nan
759,"male,group B,some college,standard,completed,69.0,77.0,77.0","male,group B,some college,standard,completed,69.0,77.0,77.0",,,nan/nan
760,"female,group C,high school,free/reduced,none,53.0,72.0,64.0","female,group C,high school,free/reduced,none,53.0,72.0,64.0",,,nan/nan
761,"female,group D,some high school,standard,none,48.0,58.0,54.0","female,group D,some high school,standard,none,48.0,58.0,54.0",,,nan/nan
762,"male,group D,some high school,standard,,78.0,81.0,86.0","male,group D,some high school,standard,,78.0,81.0,86.0",,,nan/nan
763,"female,group B,high school,standard,none,62.0,62.0,63.0","female,group B,high school,standard,none,62.0,62.0,63.0",,,nan/nan
764,"male,group D,some college,standard,none,60.0,63.0,","male,group D,some college,standard,none,60.0,63.0,",,,nan/nan
765,"female,group B,high school,standard,none,74.0,72.0,72.0","female,group B,high school,standard,none,74.0,72.0,72.0",,,nan/nan
766,"female,group C,high school,standard,completed,58.0,75.0,77.0","female,group C,high school,standard,completed,58.0,75.0,77.0",,,nan/nan
767,"male,group B,high school,standard,completed,,62.0,","male,group B,high school,standard,completed,,62.0,",,,nan/nan
768,"female,group D,some high school,standard,none,68.0,71.0,75.0","female,group D,some high school,standard,none,68.0,71.0,75.0",,,nan/nan
769,"male,group A,some college,free/reduced,none,58.0,60.0,57.0","male,group A,some college,free/reduced,none,58.0,60.0,57.0",,,nan/nan
770,"male,group B,high school,standard,,52.0,48.0,49.0","male,group B,high school,standard,,52.0,48.0,49.0",,,nan/nan
771,",group D,bachelor's degree,standard,none,75.0,73.0,74.0",",group D,bachelor's degree,standard,none,75.0,73.0,74.0",,,nan/nan
772,"female,group B,some high school,free/reduced,completed,52.0,67.0,72.0","female,group B,some high school,free/reduced,completed,52.0,67.0,72.0",,,nan/nan
773,",group C,bachelor's degree,,none,62.0,78.0,79.0",",group C,bachelor's degree,,none,62.0,78.0,79.0",,,nan/nan
774,"male,group B,some college,standard,none,66.0,65.0,60.0","male,group B,some college,standard,none,66.0,65.0,60.0",,,nan/nan
775,"female,group B,some high school,,none,49.0,58.0,55.0","female,group B,some high school,,none,49.0,58.0,55.0",,,nan/nan
776,"female,group B,high school,standard,,66.0,72.0,70.0","female,group B,high school,standard,,66.0,72.0,70.0",,,nan/nan
777,"female,group C,some college,,none,35.0,44.0,","female,group C,some college,,none,35.0,44.0,",,,nan/nan
778,"female,group A,some college,standard,completed,72.0,79.0,82.0","female,group A,some college,standard,completed,72.0,79.0,82.0",,,nan/nan
779,"male,group E,associate's degree,standard,completed,94.0,85.0,82.0","male,group E,associate's degree,standard,completed,94.0,85.0,82.0",,,nan/nan
780,"female,group D,associate's degree,free/reduced,none,46.0,56.0,57.0","female,group D,associate's degree,free/reduced,none,46.0,56.0,57.0",,,nan/nan
781,"female,group B,master's degree,standard,none,77.0,90.0,84.0","female,group B,master's degree,standard,none,77.0,90.0,84.0",,,nan/nan
782,"female,group B,,free/reduced,completed,76.0,85.0,82.0","female,group B,,free/reduced,completed,76.0,85.0,82.0",,,nan/nan
783,"female,group C,associate's degree,standard,completed,52.0,59.0,62.0","female,group C,associate's degree,standard,completed,52.0,59.0,62.0",,,nan/nan
784,"male,group C,bachelor's degree,standard,completed,91.0,81.0,79.0","male,group C,bachelor's degree,standard,completed,91.0,81.0,79.0",,,nan/nan
785,"female,group B,some high school,standard,completed,32.0,51.0,44.0","female,group B,some high school,standard,completed,32.0,51.0,44.0",,,nan/nan
786,"female,group E,some high school,free/reduced,none,72.0,79.0,77.0","female,group E,some high school,free/reduced,none,72.0,79.0,77.0",,,nan/nan
787,"female,group B,some college,,none,19.0,38.0,32.0","female,group B,some college,,none,19.0,38.0,32.0",,,nan/nan
788,"male,group C,associate's degree,free/reduced,none,68.0,65.0,61.0","male,group C,associate's degree,free/reduced,none,68.0,65.0,61.0",,,nan/nan
789,"female,group C,master's degree,free/reduced,none,52.0,65.0,61.0","female,group C,master's degree,free/reduced,none,52.0,65.0,61.0",,,nan/nan
790,"female,group B,high school,standard,none,48.0,62.0,60.0","female,group B,high school,standard,none,48.0,62.0,60.0",,,nan/nan
791,"female,group D,some college,free/reduced,none,60.0,,70.0","female,group D,some college,free/reduced,none,60.0,,70.0",,,nan/nan
792,"male,,high school,free/reduced,none,66.0,74.0,","male,,high school,free/reduced,none,66.0,74.0,",,,nan/nan
793,"male,group E,some high school,standard,completed,89.0,84.0,77.0","male,group E,some high school,standard,completed,89.0,84.0,77.0",,,nan/nan
794,"female,group B,high school,standard,none,42.0,,51.0","female,group B,high school,standard,none,42.0,,51.0",,,nan/nan
795,"female,group E,associate's degree,free/reduced,completed,57.0,68.0,73.0","female,group E,associate's degree,free/reduced,completed,57.0,68.0,73.0",,,nan/nan
796,"male,group D,high school,standard,none,70.0,70.0,70.0","male,group D,high school,standard,none,70.0,70.0,70.0",,,nan/nan
797,"female,group E,associate's degree,free/reduced,none,70.0,84.0,81.0","female,group E,associate's degree,free/reduced,none,70.0,84.0,81.0",,,nan/nan
798,"male,,some college,standard,none,69.0,60.0,54.0","male,,some college,standard,none,69.0,60.0,54.0",,,nan/nan
799,"female,group C,associate's degree,standard,none,52.0,55.0,57.0","female,group C,associate's degree,standard,none,52.0,55.0,57.0",,,nan/nan
800,"male,group C,some high school,standard,completed,67.0,73.0,68.0","male,group C,some high school,standard,completed,67.0,73.0,68.0",,,nan/nan
801,"male,group C,some high school,standard,completed,76.0,80.0,73.0","male,group C,some high school,standard,completed,76.0,80.0,73.0",,,nan/nan
802,"female,group E,associate's degree,standard,none,87.0,94.0,95.0","female,group E,associate's degree,standard,none,87.0,94.0,95.0",,,nan/nan
803,"female,group B,some college,standard,none,82.0,85.0,87.0","female,group B,some college,standard,none,82.0,85.0,87.0",,,nan/nan
804,"female,group C,some college,standard,none,73.0,76.0,78.0","female,group C,some college,standard,none,73.0,76.0,78.0",,,nan/nan
805,"male,group A,some college,free/reduced,none,75.0,81.0,74.0","male,group A,some college,free/reduced,none,75.0,81.0,74.0",,,nan/nan
806,"female,group D,some college,free/reduced,,,74.0,75.0","female,group D,some college,free/reduced,,,74.0,75.0",,,nan/nan
807,"female,group E,high school,free/reduced,none,41.0,45.0,40.0","female,group E,high school,free/reduced,none,41.0,45.0,40.0",,,nan/nan
808,"male,group C,high school,standard,none,,75.0,69.0","male,group C,high school,standard,none,,75.0,69.0",,,nan/nan
809,"male,group B,bachelor's degree,standard,none,59.0,54.0,51.0","male,group B,bachelor's degree,standard,none,59.0,54.0,51.0",,,nan/nan
810,"male,group A,some high school,standard,none,51.0,31.0,36.0","male,group A,some high school,standard,none,51.0,31.0,36.0",,,nan/nan
811,"male,group A,,free/reduced,none,45.0,47.0,49.0","male,group A,,free/reduced,none,45.0,47.0,49.0",,,nan/nan
812,"female,group C,master's degree,standard,completed,54.0,64.0,67.0","female,group C,master's degree,standard,completed,54.0,64.0,67.0",,,nan/nan
813,"male,group E,some high school,standard,completed,87.0,84.0,76.0","male,group E,some high school,standard,completed,87.0,84.0,76.0",,,nan/nan
814,"female,group C,high school,standard,none,72.0,80.0,83.0","female,group C,high school,standard,none,72.0,80.0,83.0",,,nan/nan
815,"male,group B,some high school,standard,completed,94.0,86.0,87.0","male,group B,some high school,standard,completed,94.0,86.0,87.0",,,nan/nan
816,"female,group A,bachelor's degree,standard,none,45.0,59.0,64.0","female,group A,bachelor's degree,standard,none,45.0,59.0,64.0",,,nan/nan
817,"male,,bachelor's degree,,completed,,70.0,76.0","male,,bachelor's degree,,completed,,70.0,76.0",,,nan/nan
818,"female,group B,high school,free/reduced,none,60.0,72.0,68.0","female,group B,high school,free/reduced,none,60.0,72.0,68.0",,,nan/nan
819,"female,group C,some high school,standard,none,77.0,91.0,88.0","female,group C,some high school,standard,none,77.0,91.0,88.0",,,nan/nan
820,"female,,some high school,standard,completed,85.0,90.0,92.0","female,,some high school,standard,completed,85.0,90.0,92.0",,,nan/nan
821,"female,group D,bachelor's degree,,none,78.0,90.0,93.0","female,group D,bachelor's degree,,none,78.0,90.0,93.0",,,nan/nan
822,"male,group E,some college,free/reduced,completed,49.0,52.0,51.0","male,group E,some college,free/reduced,completed,49.0,52.0,51.0",,,nan/nan
823,"female,group B,high school,free/reduced,none,71.0,87.0,82.0","female,group B,high school,free/reduced,none,71.0,87.0,82.0",,,nan/nan
824,"female,group C,some high school,free/reduced,none,48.0,58.0,52.0","female,group C,some high school,free/reduced,none,48.0,58.0,52.0",,,nan/nan
825,"male,group C,high school,standard,none,62.0,67.0,58.0","male,group C,high school,standard,none,62.0,67.0,58.0",,,nan/nan
826,"female,group C,associate's degree,free/reduced,completed,56.0,68.0,70.0","female,group C,associate's degree,free/reduced,completed,56.0,68.0,70.0",,,nan/nan
827,"female,group C,some high school,standard,none,65.0,69.0,76.0","female,group C,some high school,standard,none,65.0,69.0,76.0",,,nan/nan
828,"female,group D,some high school,free/reduced,completed,69.0,86.0,81.0","female,group D,some high school,free/reduced,completed,69.0,86.0,81.0",,,nan/nan
829,"male,group B,some high school,,none,68.0,54.0,53.0","male,group B,some high school,,none,68.0,54.0,53.0",,,nan/nan
830,"female,group A,,free/reduced,none,61.0,60.0,","female,group A,,free/reduced,none,61.0,60.0,",,,nan/nan
831,"female,group C,bachelor's degree,free/reduced,completed,74.0,86.0,89.0","female,group C,bachelor's degree,free/reduced,completed,74.0,86.0,89.0",,,nan/nan
832,"male,group A,bachelor's degree,standard,none,,60.0,58.0","male,group A,bachelor's degree,standard,none,,60.0,58.0",,,nan/nan
833,"female,,high school,standard,completed,77.0,82.0,89.0","female,,high school,standard,completed,77.0,82.0,89.0",,,nan/nan
834,"male,group B,some college,standard,none,58.0,50.0,45.0","male,group B,some college,standard,none,58.0,50.0,45.0",,,nan/nan
835,"female,group C,high school,standard,completed,60.0,64.0,74.0","female,group C,high school,standard,completed,60.0,64.0,74.0",,,nan/nan
836,"male,group E,high school,standard,none,73.0,64.0,57.0","male,group E,high school,standard,none,73.0,64.0,57.0",,,nan/nan
837,"female,group A,high school,standard,completed,75.0,82.0,79.0","female,group A,high school,standard,completed,75.0,82.0,79.0",,,nan/nan
838,"male,group B,associate's degree,free/reduced,completed,58.0,57.0,53.0","male,group B,associate's degree,free/reduced,completed,58.0,57.0,53.0",,,nan/nan
839,"female,group C,associate's degree,standard,none,66.0,77.0,73.0","female,group C,associate's degree,standard,none,66.0,77.0,73.0",,,nan/nan
840,"female,group D,high school,free/reduced,none,39.0,52.0,46.0","female,group D,high school,free/reduced,none,39.0,52.0,46.0",,,nan/nan
841,"male,group C,some high school,,none,64.0,58.0,51.0","male,group C,some high school,,none,64.0,58.0,51.0",,,nan/nan
842,"female,group B,high school,free/reduced,completed,23.0,44.0,","female,group B,high school,free/reduced,completed,23.0,44.0,",,,nan/nan
843,"male,group B,some college,free/reduced,completed,74.0,77.0,","male,group B,some college,free/reduced,completed,74.0,77.0,",,,nan/nan
844,"female,group D,,free/reduced,completed,40.0,65.0,","female,group D,,free/reduced,completed,40.0,65.0,",,,nan/nan
845,"male,group E,master's degree,standard,none,90.0,85.0,84.0","male,group E,master's degree,standard,none,90.0,85.0,84.0",,,nan/nan
846,"male,group C,master's degree,standard,,91.0,,85.0","male,group C,master's degree,standard,,91.0,,85.0",,,nan/nan
847,"male,group D,high school,,none,64.0,54.0,50.0","male,group D,high school,,none,64.0,54.0,50.0",,,nan/nan
848,"female,group C,high school,standard,,59.0,72.0,68.0","female,group C,high school,standard,,59.0,72.0,68.0",,,nan/nan
849,"male,group D,associate's degree,standard,none,80.0,75.0,69.0","male,group D,associate's degree,standard,none,80.0,75.0,69.0",,,nan/nan
850,"male,group C,master's degree,standard,none,71.0,67.0,67.0","male,group C,master's degree,standard,none,71.0,67.0,67.0",,,nan/nan
851,"female,group A,high school,standard,none,61.0,68.0,63.0","female,group A,high school,standard,none,61.0,68.0,63.0",,,nan/nan
852,"female,group E,some college,standard,none,87.0,85.0,93.0","female,group E,some college,standard,none,87.0,85.0,93.0",,,nan/nan
853,"male,group E,some high school,standard,none,82.0,67.0,61.0","male,group E,some high school,standard,none,82.0,67.0,61.0",,,nan/nan
854,"male,group C,some high school,standard,none,62.0,64.0,55.0","male,group C,some high school,standard,none,62.0,64.0,55.0",,,nan/nan
855,"female,group B,bachelor's degree,standard,none,97.0,97.0,96.0","female,group B,bachelor's degree,standard,none,97.0,97.0,96.0",,,nan/nan
